"sim.id","aidsstage.final","aidsstage.start","birth.boygirlratio","birth.pregnancyduration.dist.fixed.value","birth.pregnancyduration.dist.type","chronicstage.acutestagetime","conception.alpha_ageman","conception.alpha_agewoman","conception.alpha_base","conception.alpha_wsf","conception.beta","conception.t_max","conception.wsf.dist.fixed.value","conception.wsf.dist.type","debut.debutage","diagnosis.agefactor","diagnosis.baseline","diagnosis.beta","diagnosis.diagpartnersfactor","diagnosis.genderfactor","diagnosis.isdiagnosedfactor","diagnosis.t_max","dissolution.Dp","dissolution.alpha_0","dissolution.alpha_1","dissolution.alpha_2","dissolution.alpha_3","dissolution.alpha_4","dissolution.alpha_5","dissolution.beta","dissolution.t_max","dropout.interval.dist.type","dropout.interval.dist.uniform.max","dropout.interval.dist.uniform.min","formation.hazard.agegapry.baseline","formation.hazard.agegapry.beta","formation.hazard.agegapry.distance","formation.hazard.agegapry.eagerness_diff","formation.hazard.agegapry.eagerness_sum","formation.hazard.agegapry.gap_agescale_man","formation.hazard.agegapry.gap_agescale_woman","formation.hazard.agegapry.gap_factor_man_age","formation.hazard.agegapry.gap_factor_man_const","formation.hazard.agegapry.gap_factor_man_exp","formation.hazard.agegapry.gap_factor_woman_age","formation.hazard.agegapry.gap_factor_woman_const","formation.hazard.agegapry.gap_factor_woman_exp","formation.hazard.agegapry.maxageref.diff","formation.hazard.agegapry.meanage","formation.hazard.agegapry.numrel_diff","formation.hazard.agegapry.numrel_man","formation.hazard.agegapry.numrel_scale_man","formation.hazard.agegapry.numrel_scale_woman","formation.hazard.agegapry.numrel_woman","formation.hazard.agegapry.t_max","formation.hazard.type","hivseed.age.max","hivseed.age.min","hivseed.amount","hivseed.gender","hivseed.stop.short","hivseed.time","hivseed.type","intervention.enabled","monitoring.cd4.threshold","monitoring.fraction.log_viralload","monitoring.interval.piecewise.cd4s","monitoring.interval.piecewise.left","monitoring.interval.piecewise.right","monitoring.interval.piecewise.times","mortality.aids.survtime.C","mortality.aids.survtime.k","mortality.normal.weibull.genderdiff","mortality.normal.weibull.scale","mortality.normal.weibull.shape","periodiclogging.interval","periodiclogging.starttime","person.agegap.man.dist.normal.max","person.agegap.man.dist.normal.min","person.agegap.man.dist.normal.mu","person.agegap.man.dist.normal.sigma","person.agegap.man.dist.type","person.agegap.woman.dist.normal.max","person.agegap.woman.dist.normal.min","person.agegap.woman.dist.normal.mu","person.agegap.woman.dist.normal.sigma","person.agegap.woman.dist.type","person.art.accept.threshold.dist.fixed.value","person.art.accept.threshold.dist.type","person.cd4.end.dist.type","person.cd4.end.dist.uniform.max","person.cd4.end.dist.uniform.min","person.cd4.start.dist.type","person.cd4.start.dist.uniform.max","person.cd4.start.dist.uniform.min","person.eagerness.dist.gamma.a","person.eagerness.dist.gamma.b","person.eagerness.dist.type","person.geo.dist2d.fixed.xvalue","person.geo.dist2d.fixed.yvalue","person.geo.dist2d.type","person.survtime.logoffset.dist.fixed.value","person.survtime.logoffset.dist.type","person.vsp.maxvalue","person.vsp.model.logdist2d.dist2d.binormalsymm.max","person.vsp.model.logdist2d.dist2d.binormalsymm.mean","person.vsp.model.logdist2d.dist2d.binormalsymm.min","person.vsp.model.logdist2d.dist2d.binormalsymm.rho","person.vsp.model.logdist2d.dist2d.binormalsymm.sigma","person.vsp.model.logdist2d.dist2d.type","person.vsp.model.logdist2d.usealternativeseeddist","person.vsp.model.type","person.vsp.toacute.x","person.vsp.toaids.x","person.vsp.tofinalaids.x","population.coarsemap.subdivx","population.coarsemap.subdivy","population.eyecap.fraction","population.maxevents","population.nummen","population.numwomen","population.simtime","relocation.enabled","syncpopstats.interval","syncrefyear.interval","transmission.maxageref.diff","transmission.param.a","transmission.param.b","transmission.param.c","transmission.param.d1","transmission.param.d2","transmission.param.f1","transmission.param.f2","eagerness.a","eagerness.b","growth.rate","prev.15.50.end"
96,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.646132982632844,88.9308869495173,NA,NA
97,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.280892521928763,15.1268299745047,-0.0118703796560739,0.0425531914893617
98,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.155070123024052,41.3961837557144,-0.00971519977604354,0.0298507462686567
99,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.811453956935555,24.3339947388158,0.00851871983471183,0.488859764089122
100,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.261363285277737,7.99045342155732,-0.0163001309307193,0.0272373540856031
1,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.336407573866192,19.8900266212062,-0.00773115625919054,0.0615384615384615
2,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.515967807563953,35.4901149626938,0.00686492082257814,0.395804195804196
3,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.92365117152757,68.1679663147661,NA,NA
4,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.183420555328252,59.5884742486174,-0.00391634525113442,0.161554192229039
5,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.587630514946068,34.8064557043253,0.00855425644339626,0.491698595146871
6,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.716667185237398,93.3415442585596,NA,NA
7,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.600065046422184,21.3175331780221,0.000298214271631845,0.211091234347048
8,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.434162411690224,51.3727634480922,0.00703531148595464,0.479196556671449
9,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.885307308436139,96.2650243052747,NA,NA
10,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.313461417483864,11.0804272594163,-0.011550886489914,0.0292207792207792
11,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.909652689427836,18.4340871094377,0.00418019797459766,0.361832061068702
12,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.199901267619105,27.0336443692795,-0.0104637586914205,0.0783132530120482
13,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.403869004205568,49.4992841309402,0.00626896795867958,0.443959243085881
14,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.144531697191997,57.9339182889555,-0.0072588075251915,0.188940092165899
15,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.872367712195497,86.0038514789427,NA,NA
16,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.192774630976375,82.4202515625861,-0.00280123759521557,0.244274809160305
17,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.294846215144498,30.7289582029334,-0.00595642972810645,0.152744630071599
18,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.91858019906003,61.3861900285818,NA,NA
19,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.585583593850257,10.6707483650884,-0.00790203867433697,0.0414364640883978
20,0.5,1.25,0.497512437810945,0.734246575342466,"fixed",0.25,0,0,-2.35,0,0,200,0,"fixed",14,0,0,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,"uniform",10,0.25,0.1,0,0,-0.048,0.1,0.23,0.23,0,0,-0.15,0,0,-0.15,1,0,0,-0.5,0,0,-0.5,200,"agegapry",25,15,20,"any","yes",10,"amount","no",350,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,-Inf,-5,1,"normal",Inf,-Inf,2.5,1,"normal",0.5,"fixed","uniform",100,0,"uniform",1300,700,0.231989836885,45,"gamma",0,0,"fixed",0,"fixed",1000000000,8,4,1,0.33,1,"binormalsymm","no","logdist2d",10,7,12,20,20,0.2,80000,500,500,40,"no",-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.6094379124341,-0.112661313423573,0.895059812830761,32.193478480191,0.0161120502144666,0.594791666666667
